"Title,Author,Published At,Source,URL"
"I chatted to an MIT-built AI version of my future, 60-year-old self and we did NOT get along",jessica.kinghorn@futurenet.com (Jess Kinghorn),2024-11-07T11:35:54Z,PC Gamer,https://www.pcgamer.com/hardware/it-is-on-sight-with-this-ai-chatbot/
Top Halloween films of 2024,Tatat Bunnag,2024-10-29T21:00:00Z,Bangkok Post,https://www.bangkokpost.com/life/arts-and-entertainment/2892753/top-halloween-films-of-2024
Is ‘The Substance’ On Streaming Yet?,Josh Kurp,2024-10-24T15:51:34Z,UPROXX,https://uproxx.com/movies/the-substance-streaming-date/
"Eva Longoria invested $6 million of her own money to save 'John Wick' — and the directors didn't even know,Jason Guerrasio,2024-10-22T20:41:28Z,Business Insider,https://www.businessinsider.com/eva-longoria-producer-john-wick-2024-10"
"Add Ninjago To the List of Live-Action Lego Movies We’re Getting,Justin Carter,2024-11-03T15:30:55Z,Gizmodo.com,https://gizmodo.com/lego-ninjago-live-action-movie-2000519881"
"The Curious Case of Iconic Star Vega’s Missing Planets,Passant Rabie,2024-11-09T13:00:14Z,Gizmodo.com,https://gizmodo.com/the-curious-case-of-iconic-star-vegas-missing-planets-2000520285"
"Oscar-Worthy 2024 Horror Performances: Hugh Grant, Margaret Qualley and More",Jenelleriley2,2024-10-31T16:33:30Z,Variety,https://variety.com/2024/awards/actors/oscar-worthy-2024-horror-performances-1236195685/
"Sasheer Zamata Talks Becoming Agatha All Along’s Final Girl,Justin Carter,2024-11-03T19:25:58Z,Gizmodo.com,https://gizmodo.com/agatha-all-along-sasheer-zamata-2000519884"
Why don’t we have any sympathy for beauty addicts?,Brynn Valentine,2024-10-23T14:12:00Z,Dazed,https://www.dazeddigital.com/beauty/article/64906/1/no-sympathy-for-the-beauty-addict?utm_source=Link&utm_medium=Link&utm_campaign=RSSFeed&utm_term=why-don-t-we-have-any-sympathy-for-beauty-addicts
"Demi Moore Slams U.S. Election: America 'Built On Puritans, Religious Fanatics And Criminals',Marco Margaritoff,2024-11-08T19:53:33Z,HuffPost,https://www.huffpost.com/entry/demi-moore-american-election-puritans-religious-fanatics-criminals_n_672e2785e4b03941587e9f62"
‘The Substance’ Is Now Available to Watch at Home!,John Squires,2024-10-31T18:26:54Z,Bloody Disgusting,https://bloody-disgusting.com/movie/3837992/the-substance-is-now-available-to-watch-at-home/
